domain,pc1
reuters.com,1
apnews.com,0.998049167729267
charitynavigator.org,0.985751566494374
rollcall.com,0.982850843623789
smithsonianmag.com,0.971184072481041
climateactiontracker.org,0.970824619355302
stripes.com,0.970705909096091
drugs.com,0.965142662952843
cbo.gov,0.964973906244947
usaspending.gov,0.964973906244947
africacheck.org,0.964973906244947
nature.com,0.964534054690512
cdc.gov,0.964445730133301
leadstories.com,0.963826303031933
climatefeedback.org,0.963420694296498
sandiegouniontribune.com,0.961102639657948
indystar.com,0.957207994613488
nasa.gov,0.956315766887341
hopkinsmedicine.org,0.956072309009315
armytimes.com,0.955899260798174
skepticalinquirer.org,0.95553129695965
afp.com,0.954600577620557
cnet.com,0.951854977853014
militarytimes.com,0.951497998550873
truthorfiction.com,0.950775844278038
prri.org,0.950775844278038
nationmaster.com,0.950775844278038
bringmethenews.com,0.950669426837722
upi.com,0.950555959253076
americanscientist.org,0.950370235542603
airspacemag.com,0.950370235542603
tennessean.com,0.949767015915909
newsnationnow.com,0.946742643739216
arstechnica.com,0.946362498302995
verafiles.org,0.944724772225377
nejm.org,0.944319163489942
biomedcentral.com,0.944319163489942
apa.org,0.944319163489942
aaas.org,0.944319163489942
medpagetoday.com,0.944057016812522
voanews.com,0.943723767994693
edge.org,0.942677265108602
skeptoid.com,0.942677265108602
afr.com,0.941320926225632
syracuse.com,0.940444469429823
newscientist.com,0.935582630250769
sciencebasedmedicine.org,0.935582630250769
csmonitor.com,0.935094190129455
eagletribune.com,0.934656389724824
medscape.com,0.934094911736869
patch.com,0.933491002134259
defensenews.com,0.933374654105194
niskanencenter.org,0.93233933163646
zdf.de,0.932303283086416
group30.org,0.932150542574171
goodnewsnetwork.org,0.931854544428937
npr.org,0.930525246755544
ft.com,0.930139262512042
independentmail.com,0.927259886031634
wowt.com,0.926860613409734
spotlightpa.org,0.926637275480105
news.abs-cbn.com,0.926504244994787
web.randi.org,0.926504244994787
economist.com,0.926495544108839
ctvnews.ca,0.926445778463004
ncsl.org,0.92629107180748
publicpolicypolling.com,0.92629107180748
lcsun-news.com,0.92624515412961
wtok.com,0.926224606189741
azcapitoltimes.com,0.926160962235276
rsf.org,0.926083009790671
iea.org,0.926083009790671
dailynorthwestern.com,0.926083009790671
constitutioncenter.org,0.926083009790671
janes.com,0.926083009790671
arirang.com,0.926083009790671
hastingstribune.com,0.926083009790671
tribunecontentagency.com,0.926083009790671
imediaethics.org,0.926083009790671
justicedenied.org,0.926083009790671
dccircuitbreaker.org,0.926083009790671
clickondetroit.com,0.92604876697167
investopedia.com,0.92604876697167
scotsman.com,0.925960447501987
nwitimes.com,0.925960447501987
jta.org,0.925960447501987
lancasteronline.com,0.925960447501987
federalnewsnetwork.com,0.925960447501987
capecodtimes.com,0.925960447501987
shreveporttimes.com,0.925960447501987
therepublic.com,0.925960447501987
ktva.com,0.921904737212624
democratherald.com,0.921779883180691
opensecrets.org,0.921590582422343
news.harvard.edu,0.920857173139642
foreignpolicy.com,0.918863055218116
telegram.com,0.91841466496127
rand.org,0.91841466496127
southbendtribune.com,0.91841466496127
metrowestdailynews.com,0.91841466496127
gallup.com,0.918225504110308
missoulian.com,0.918102661836263
theconversation.com,0.91790623699568
pewresearch.org,0.91790623699568
factcheck.org,0.91790623699568
ksnblocal4.com,0.917830484256026
lesoir.be,0.917551873250631
daily-journal.com,0.917551873250631
bmj.com,0.917500628260245
healthfeedback.org,0.917500628260245
sciencemag.org,0.917500628260245
the-scientist.com,0.917500628260245
paho.org,0.917068229614952
realmofhistory.com,0.917068229614952
bullshido.net,0.917046009240808
quantamagazine.org,0.915776893019192
castanet.net,0.915503299833536
benzinga.com,0.913680907435032
kait8.com,0.913680907435032
courier-tribune.com,0.913680907435032
sun-sentinel.com,0.912897060376715
observatory.journalism.wisc.edu,0.911973046779559
newsfactsnetwork.com,0.911970087388526
bleepingcomputer.com,0.911884947823762
i24news.tv,0.911884947823762
bangkokpost.com,0.911884947823762
oilprice.com,0.911884947823762
nber.org,0.911884947823762
agerpres.ro,0.911884947823762
thestrategybridge.org,0.911884947823762
geek.com,0.911884947823762
stratfor.com,0.911884947823762
strategypage.com,0.911884947823762
airwars.org,0.911884947823762
sayfiereview.com,0.911884947823762
kusi.com,0.911575837998327
sltrib.com,0.910621073372594
congress.gov,0.910055955606308
csis.org,0.910055955606308
howtogeek.com,0.910055955606308
usafacts.org,0.910055955606308
thoughtco.com,0.910055955606308
transparency.org,0.910055955606308
logically.ai,0.910055955606308
ire.org,0.910055955606308
americanpressinstitute.org,0.910055955606308
differencebetween.net,0.910055955606308
everycrsreport.com,0.910055955606308
oyez.org,0.910055955606308
reporterslab.org,0.910055955606308
sciencedebate.org,0.910055955606308
greenvilleonline.com,0.90983069049736
noaa.gov,0.909650346870873
sciencedirect.com,0.909650346870873
ieee.org,0.909650346870873
eurekalert.org,0.909650346870873
aps.org,0.909650346870873
iop.org,0.909650346870873
astronomy.com,0.909650346870873
aap.org,0.909650346870873
healthaffairs.org,0.909650346870873
skepticalscience.com,0.909650346870873
realclimate.org,0.909650346870873
societyforscience.org,0.909650346870873
bio.org,0.909650346870873
sciencefeedback.co,0.909650346870873
ajaonline.org,0.909650346870873
nationalacademyofsciences.org,0.909650346870873
lawfareblog.com,0.909477682515277
ncdc.noaa.gov,0.909255758004368
technologyreview.com,0.909072073779842
tri-cityherald.com,0.908841917690189
news.hjnews.com,0.908620122011068
foreignaffairs.com,0.908608555363604
popularmechanics.com,0.908495174315373
earthsky.org,0.908333401219804
insidescience.org,0.908333401219804
seeker.com,0.908333401219804
scienceblogs.com,0.908217468419442
defenseone.com,0.907444729486525
heraldnews.com,0.907444729486525
icitizen.com,0.907444729486525
kmov.com,0.907222206976868
themarshallproject.org,0.906890734326071
wtvy.com,0.906890734326071
wyomingnewsnow.tv,0.906890734326071
mywebtimes.com,0.906890734326071
recordnet.com,0.906880390256664
9news.com,0.905833875771101
nzherald.co.nz,0.905833875771101
postandcourier.com,0.905833875771101
law360.com,0.905833875771101
herald-dispatch.com,0.905833875771101
healthcarefinancenews.com,0.905833875771101
defconwarningsystem.com,0.905833875771101
polygraph.info,0.905833875771101
ldnews.com,0.905833875771101
thecipherbrief.com,0.905833875771101
shorensteincenter.org,0.905833875771101
thatsnonsense.com,0.905833875771101
delrionewsherald.com,0.905833875771101
newsoptimist.ca,0.905833875771101
corriere.it,0.905742728592858
digitaljournal.com,0.905571729093681
abc7chicago.com,0.905571729093681
cincinnati.com,0.905571729093681
ketv.com,0.905571729093681
lansingstatejournal.com,0.905571729093681
greenbaypressgazette.com,0.905571729093681
pjstar.com,0.905571729093681
wearethemighty.com,0.905571729093681
greatfallstribune.com,0.905571729093681
altoday.com,0.905338413950405
consumerreports.org,0.905188871112721
rescue.org,0.904209107373625
crimeola.com,0.904209107373625
woodfordtimes.com,0.903629211205189
snopes.com,0.90354981436689
riverdalepress.com,0.903528672869269
wbfo.org,0.903193864975017
news-herald.net,0.903193864975017
house.gov,0.90283115919677
cpj.org,0.90283115919677
aip.org,0.902425550461335
skepdic.com,0.902425550461335
ispp.org,0.902425550461335
morningconsult.com,0.90196608462966
howstuffworks.com,0.90196608462966
tvw.org,0.90196608462966
record-eagle.com,0.901833046640374
autisticadvocacy.org,0.901560475894226
theness.com,0.901547064207959
wvec–13newsnow.com,0.901325710723102
ad.nl,0.901149667284623
usatoday.com,0.901007708482031
thelancet.com,0.900841895656363
pnas.org,0.900841895656363
sciencenews.org,0.900796075628909
cosmosmagazine.com,0.900363583651724
ama-assn.org,0.900363583651724
post-gazette.com,0.899740536782206
mentalfloss.com,0.898917790455543
thehill.com,0.898762408412433
auburnpub.com,0.89816909321717
axios.com,0.897141919676178
adweek.com,0.897097342531927
actionnewsjax.com,0.897097342531927
usnews.com,0.897076683243603
wtop.com,0.895704223941618
dailycamera.com,0.895704223941618
magicvalley.com,0.895704223941618
fourstateshomepage.com,0.895704223941618
goerie.com,0.895609624018027
dailybulletin.com,0.895365282771537
join1440.com,0.895186073802898
poststar.com,0.895026172110662
wacotrib.com,0.895026172110662
mariettatimes.com,0.894977975771641
worldometers.info,0.89439068993141
relevantmagazine.com,0.89439068993141
icij.org,0.893678957109776
examine.com,0.893273348374341
adaa.org,0.893084315238923
abc.net.au,0.893061784379582
courant.com,0.892552226139136
gazzettadimodena.it,0.892034725782772
nbc11news.com,0.891114107510963
zmescience.com,0.8910726912763
ajph.aphapublications.org,0.890578168666723
omaha.com,0.890393876712893
burnettcountysentinel.com,0.890032482642746
singularityhub.com,0.889844112553671
bramptonguardian.com,0.889819300293336
